City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,riyadh,24.6877,46.7219,34.5,12,5,4.69,SA,1727245692
76,hawaiian paradise park,19.5933,-154.9731,23.73,92,40,1.54,US,1727245776
77,ilulissat,69.2167,-51.1,3.01,75,100,0.0,GL,1727245777
78,itacare,-14.2775,-38.9967,21.98,85,1,1.45,BR,1727245778
79,olonkinbyen,70.9221,-8.7187,1.18,78,29,6.24,SJ,1727245779
80,taksimo,56.3444,114.8794,16.37,42,59,1.31,RU,1727245780
81,rondonopolis,-16.4708,-54.6356,27.75,28,10,0.73,BR,1727245764
82,chernyshevskiy,63.0128,112.4714,7.72,69,100,2.74,RU,1727245783
83,ribeira grande,38.5167,-28.7,24.32,88,75,10.8,PT,1727245784
84,ola,59.5833,151.2833,7.95,51,3,5.39,RU,1727245785
85,tolanaro,-25.0319,46.9987,24.04,78,53,6.45,MG,1727245787
86,marijampole,54.5667,23.35,14.59,92,97,4.89,LT,1727245788
87,ghat,24.9647,10.1728,29.99,31,4,0.29,LY,1727245789
88,gryfino,53.2524,14.4883,14.25,85,53,5.55,PL,1727245790
89,xining,36.6167,101.7667,19.05,45,4,1.54,CN,1727245791
90,kalabo,-14.97,22.6814,24.07,32,45,4.87,ZM,1727245793
91,bredasdorp,-34.5322,20.0403,14.17,84,100,1.14,ZA,1727245494
92,wailua homesteads,22.0669,-159.378,25.44,82,20,6.17,US,1727245795
93,usinsk,65.9939,57.5281,2.44,57,9,4.82,RU,1727245796
94,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,51,20,6.0,RU,1727245797
95,selfoss,63.9331,-20.9971,3.36,79,6,5.32,IS,1727245798
96,blackmans bay,-43.0167,147.3167,13.18,42,100,0.45,AU,1727245799
97,saipan,15.1355,145.701,31.39,74,75,4.12,MP,1727245802
98,aykol,38.1751,77.2132,30.04,16,0,2.5,CN,1727245803
99,al kharj,24.155,47.3346,35.32,10,5,3.83,SA,1727245804
100,constantia,44.1833,28.65,20.39,74,55,0.8,RO,1727245515
101,merizo village,13.2658,144.6691,31.31,81,32,3.99,GU,1727245806
